ID_Usuario;Sexo;Nome;Idade;Email;Telefone; Renda_anual ; Valor_Em_Compras ;Score_Fidelidade;Regi�o;Fequencia_de_compra;M�dia_salarial_Mensal;Valor_Unitario_M�dio;Data_da_Compra;M�s_da_Compra;Ano_da_Compra
85;F;Christina;40;Christina@email.com;(84) 77242-1441;R$ 60.000,00;450;6,7;Oeste;20;R$ 5.000,00;R$ 22,50;05/04/2023;Abril;2023
502;F;Usuário_502;29;usuario502@exemplo.com;+55 22994-2537;R$ 176.167,40;R$ 11.607;7,2;Norte;4;R$ 14.680,62;R$ 2.901,81;07/04/2023;Abril;2023
605;F;Usuário_605;32;usuario605@exemplo.com;+55 72185-4885;R$ 22.963,69;R$ 8.419;5,9;Nordeste;10;R$ 1.913,64;R$ 841,88;07/04/2023;Abril;2023
952;F;Usuário_502;29;usuario502@exemplo.com;+55 22994-2537;R$ 176.167,40;R$ 355,00;8;Norte;4;R$ 14.680,62;R$ 88,75;07/04/2023;Abril;2023
1055;F;Usuário_605;32;usuario605@exemplo.com;+55 72185-4885;R$ 22.963,69;R$ 851,00;6,8;Nordeste;10;R$ 1.913,64;R$ 85,10;07/04/2023;Abril;2023
644;F;Usuário_644;31;usuario644@exemplo.com;+55 56894-7876;R$ 64.249,98;R$ 8.442;2,6;Centro-Oeste;7;R$ 5.354,17;R$ 1.206,06;10/04/2023;Abril;2023
1094;F;Usuário_644;31;usuario644@exemplo.com;+55 56894-7876;R$ 64.249,98;R$ 816,00;6,4;Centro-Oeste;7;R$ 5.354,17;R$ 116,57;10/04/2023;Abril;2023
176;M;Guido;38;Guido@email.com;(46) 56634-1969;R$ 59.000,00;430;5;Norte;20;R$ 4.916,67;R$ 21,50;01/01/2023;Janeiro;2023
65;M;C�saro;27;C�saro@email.com;(69) 46602-7353;R$ 43.000,00;230;4,2;Norte;14;R$ 3.583,33;R$ 16,43;03/01/2023;Janeiro;2023
172;M;Grigorii;49;Grigorii@email.com;(38) 08023-7692;R$ 69.000,00;590;1,3;Oeste;24;R$ 5.750,00;R$ 24,58;03/01/2023;Janeiro;2023
111;M;Derek;24;Derek@email.com;(71) 21464-8392;R$ 32.000,00;170;3,2;Sul;11;R$ 2.666,67;R$ 15,45;04/01/2023;Janeiro;2023
137;M;Evandro;28;Evandro@email.com;(32) 26839-0772;R$ 46.000,00;250;4,5;Norte;14;R$ 3.833,33;R$ 17,86;06/01/2023;Janeiro;2023
201;M;Iran;24;Iran@email.com;(85) 33708-4558;R$ 32.000,00;170;5,1;Sul;11;R$ 2.666,67;R$ 15,45;08/01/2023;Janeiro;2023
313;M;Usuário_313;29;usuario313@exemplo.com;+55 60892-5904;R$ 88.033,36;R$ 14.742;6,9;Sul;11;R$ 7.336,11;R$ 1.340,20;08/01/2023;Janeiro;2023
763;M;Usuário_313;29;usuario313@exemplo.com;+55 60892-5904;R$ 88.033,36;R$ 637,00;8,6;Sul;11;R$ 7.336,11;R$ 57,91;08/01/2023;Janeiro;2023
131;M;Euger;30;Euger@email.com;(17) 20238-3761;R$ 49.000,00;300;4,1;Norte;16;R$ 4.083,33;R$ 18,75;13/01/2023;Janeiro;2023
140;M;Evans;36;Evans@email.com;(81) 28352-2075;R$ 54.000,00;400;2;Norte;19;R$ 4.500,00;R$ 21,05;14/01/2023;Janeiro;2023
167;M;Gonzaga;28;Gonzaga@email.com;(27) 46529-2058;R$ 46.000,00;250;5,2;Norte;14;R$ 3.833,33;R$ 17,86;15/01/2023;Janeiro;2023
169;M;Graham;50;Graham@email.com;(36) 64234-9715;R$ 70.000,00;600;3,4;Oeste;25;R$ 5.833,33;R$ 24,00;15/01/2023;Janeiro;2023
164;M;Goa;46;Goa@email.com;(63) 73931-1025;R$ 66.000,00;510;8,9;Norte;22;R$ 5.500,00;R$ 23,18;16/01/2023;Janeiro;2023
213;M;Isany;33;Isany@email.com;(46) 76580-4584;R$ 53.000,00;380;8,5;Sul;18;R$ 4.416,67;R$ 21,11;16/01/2023;Janeiro;2023
235;M;Jiyaan;40;Jiyaan@email.com;(39) 38006-9773;R$ 60.000,00;450;2,9;Oeste;20;R$ 5.000,00;R$ 22,50;17/01/2023;Janeiro;2023
431;M;Usuário_431;59;usuario431@exemplo.com;+55 78417-4372;R$ 161.100,44;R$ 8.978;7,4;Centro-Oeste;7;R$ 13.425,04;R$ 1.282,61;18/01/2023;Janeiro;2023
18;F;Adelin;39;Adelin@email.com;(49) 08589-6131;R$ 57.000,00;440;2,1;Sul;21;R$ 4.750,00;R$ 20,95;12/04/2023;Abril;2023
184;F;Hedviges;51;Hedviges@email.com;(19) 50688-2667;R$ 71.000,00;600;2,7;Oeste;25;R$ 5.916,67;R$ 24,00;12/04/2023;Abril;2023
379;F;Usuário_379;53;usuario379@exemplo.com;+55 30422-5874;R$ 113.282,56;R$ 13.692;9,3;Sudeste;10;R$ 9.440,21;R$ 1.369,22;12/04/2023;Abril;2023
829;F;Usuário_379;53;usuario379@exemplo.com;+55 30422-5874;R$ 113.282,56;R$ 134,00;9,6;Sudeste;10;R$ 9.440,21;R$ 13,40;12/04/2023;Abril;2023
26;F;�der;38;�der@email.com;(17) 72507-7378;R$ 59.000,00;430;3,9;Leste;20;R$ 4.916,67;R$ 21,50;15/04/2023;Abril;2023
222;F;Itiane;39;Itiane@email.com;(13) 66978-9362;R$ 57.000,00;440;1,4;Sul;21;R$ 4.750,00;R$ 20,95;15/04/2023;Abril;2023
35;F;Adner;27;Adner@email.com;(93) 36039-6382;R$ 43.000,00;230;5,4;Norte;14;R$ 3.583,33;R$ 16,43;18/04/2023;Abril;2023
190;F;Helaine;48;Helaine@email.com;(76) 79100-8985;R$ 68.000,00;550;3,9;Oeste;24;R$ 5.666,67;R$ 22,92;18/04/2023;Abril;2023
80;F;Christa;36;Christa@email.com;(92) 46121-4847;R$ 54.000,00;400;6,4;Norte;19;R$ 4.500,00;R$ 21,05;23/04/2023;Abril;2023
673;F;Usuário_673;20;usuario673@exemplo.com;+55 26319-5071;R$ 124.485,27;R$ 6.498;9,4;Nordeste;6;R$ 10.373,77;R$ 1.082,99;24/04/2023;Abril;2023
1123;F;Usuário_673;20;usuario673@exemplo.com;+55 26319-5071;R$ 124.485,27;R$ 653,00;2,1;Nordeste;6;R$ 10.373,77;R$ 108,83;24/04/2023;Abril;2023
152;F;Evania;29;Evania@email.com;(79) 96962-2462;R$ 46.000,00;270;1,3;Norte;15;R$ 3.833,33;R$ 18,00;25/04/2023;Abril;2023
122;F;Elizaveta;29;Elizaveta@email.com;(64) 59228-6877;R$ 46.000,00;270;6,5;Norte;15;R$ 3.833,33;R$ 18,00;26/04/2023;Abril;2023
163;F;Evilly;37;Evilly@email.com;(37) 18131-5180;R$ 58.000,00;420;7,5;Oeste;20;R$ 4.833,33;R$ 21,00;29/04/2023;Abril;2023
230;F;Ivanise;36;Ivanise@email.com;(55) 53253-1499;R$ 54.000,00;400;2,8;Norte;19;R$ 4.500,00;R$ 21,05;03/05/2023;Maio;2023
383;F;Usuário_383;54;usuario383@exemplo.com;+55 29879-3905;R$ 114.853,29;R$ 10.388;5,9;Nordeste;12;R$ 9.571,11;R$ 865,70;03/05/2023;Maio;2023
833;F;Usuário_383;54;usuario383@exemplo.com;+55 29879-3905;R$ 114.853,29;R$ 735,00;4;Nordeste;12;R$ 9.571,11;R$ 61,25;03/05/2023;Maio;2023
226;F;Ivaldira;52;Ivaldira@email.com;(22) 07555-6107;R$ 72.000,00;610;1,1;Oeste;26;R$ 6.000,00;R$ 23,46;05/05/2023;Maio;2023
494;F;Usuário_494;31;usuario494@exemplo.com;+55 63712-4068;R$ 49.504,23;R$ 1.038;6,7;Norte;5;R$ 4.125,35;R$ 207,57;05/05/2023;Maio;2023
944;F;Usuário_494;31;usuario494@exemplo.com;+55 63712-4068;R$ 49.504,23;R$ 585,00;1,3;Norte;5;R$ 4.125,35;R$ 117,00;05/05/2023;Maio;2023
75;F;Chlo�;33;Chlo�@email.com;(14) 74949-2649;R$ 53.000,00;380;1,6;Sul;18;R$ 4.416,67;R$ 21,11;14/05/2023;Maio;2023
223;F;Itzayana;37;Itzayana@email.com;(32) 50379-3716;R$ 58.000,00;420;1;Oeste;20;R$ 4.833,33;R$ 21,00;14/05/2023;Maio;2023
219;F;Isra;24;Isra@email.com;(21) 20505-9653;R$ 32.000,00;170;6,3;Sul;11;R$ 2.666,67;R$ 15,45;15/05/2023;Maio;2023
77;F;Chl�e;28;Chl�e@email.com;(36) 71346-4360;R$ 46.000,00;250;6,9;Norte;14;R$ 3.833,33;R$ 17,86;18/05/2023;Maio;2023
126;F;Ellen;43;Ellen@email.com;(12) 08866-5677;R$ 63.000,00;470;7,5;Sul;21;R$ 5.250,00;R$ 22,38;18/05/2023;Maio;2023
881;M;Usuário_431;59;usuario431@exemplo.com;+55 78417-4372;R$ 161.100,44;R$ 275,00;9;Centro-Oeste;7;R$ 13.425,04;R$ 39,29;18/01/2023;Janeiro;2023
206;M;Isac;38;Isac@email.com;(13) 31466-4724;R$ 59.000,00;430;5;Norte;20;R$ 4.916,67;R$ 21,50;25/01/2023;Janeiro;2023
197;M;Ion;28;Ion@email.com;(86) 85354-4584;R$ 46.000,00;250;6,1;Norte;14;R$ 3.833,33;R$ 17,86;31/01/2023;Janeiro;2023
55;M;Cedrik;40;Cedrik@email.com;(14) 96216-1517;R$ 60.000,00;450;4,3;Oeste;20;R$ 5.000,00;R$ 22,50;03/02/2023;Fevereiro;2023
596;M;Usuário_596;34;usuario596@exemplo.com;+55 69596-1204;R$ 94.672,44;R$ 967;3,9;Sudeste;5;R$ 7.889,37;R$ 193,43;04/02/2023;Fevereiro;2023
1046;M;Usuário_596;34;usuario596@exemplo.com;+55 69596-1204;R$ 94.672,44;R$ 815,00;4,8;Sudeste;5;R$ 7.889,37;R$ 163,00;04/02/2023;Fevereiro;2023
133;M;Eus�bio;37;Eus�bio@email.com;(73) 64379-5580;R$ 58.000,00;420;3;Oeste;20;R$ 4.833,33;R$ 21,00;10/02/2023;Fevereiro;2023
548;M;Usuário_548;61;usuario548@exemplo.com;+55 86544-2757;R$ 180.749,66;R$ 13.561;9,8;Sul;4;R$ 15.062,47;R$ 3.390,35;10/02/2023;Fevereiro;2023
998;M;Usuário_548;61;usuario548@exemplo.com;+55 86544-2757;R$ 180.749,66;R$ 870,00;5,1;Sul;4;R$ 15.062,47;R$ 217,50;10/02/2023;Fevereiro;2023
69;M;Chan;24;Chan@email.com;(24) 24889-7533;R$ 32.000,00;170;6,2;Sul;11;R$ 2.666,67;R$ 15,45;22/02/2023;Fevereiro;2023
212;M;Isandro;29;Isandro@email.com;(98) 43508-6538;R$ 46.000,00;270;8,2;Norte;15;R$ 3.833,33;R$ 18,00;26/02/2023;Fevereiro;2023
102;M;Dennis;39;Dennis@email.com;(64) 98796-9882;R$ 57.000,00;440;3,4;Sul;21;R$ 4.750,00;R$ 20,95;11/03/2023;Mar�o;2023
659;M;Usuário_659;65;usuario659@exemplo.com;+55 33834-1320;R$ 20.273,11;R$ 17.864;5,7;Nordeste;4;R$ 1.689,43;R$ 4.466,06;11/03/2023;Mar�o;2023
1109;M;Usuário_659;65;usuario659@exemplo.com;+55 33834-1320;R$ 20.273,11;R$ 494,00;7,7;Nordeste;4;R$ 1.689,43;R$ 123,50;11/03/2023;Mar�o;2023
520;M;Usuário_520;54;usuario520@exemplo.com;+55 69730-4614;R$ 99.471,35;R$ 8.340;4,8;Centro-Oeste;4;R$ 8.289,28;R$ 2.085,09;13/03/2023;Mar�o;2023
970;M;Usuário_520;54;usuario520@exemplo.com;+55 69730-4614;R$ 99.471,35;R$ 830,00;7,1;Centro-Oeste;4;R$ 8.289,28;R$ 207,50;13/03/2023;Mar�o;2023
99;M;D�nis;24;D�nis@email.com;(66) 10340-5051;R$ 32.000,00;170;5,7;Sul;11;R$ 2.666,67;R$ 15,45;14/03/2023;Mar�o;2023
134;M;Euzebio;46;Euzebio@email.com;(69) 73857-5535;R$ 66.000,00;510;9,4;Norte;22;R$ 5.500,00;R$ 23,18;16/03/2023;Mar�o;2023
166;M;Gon�alo;52;Gon�alo@email.com;(76) 54013-3521;R$ 72.000,00;610;1,5;Oeste;26;R$ 6.000,00;R$ 23,46;16/03/2023;Mar�o;2023
105;M;Denylson;33;Denylson@email.com;(44) 29694-8790;R$ 53.000,00;380;3,3;Sul;18;R$ 4.416,67;R$ 21,11;17/03/2023;Mar�o;2023
42;F;Bhagyasheree;39;Bhagyasheree@email.com;(35) 83317-8682;R$ 57.000,00;440;6,4;Sul;21;R$ 4.750,00;R$ 20,95;19/05/2023;Maio;2023
40;F;Betina;53;Betina@email.com;(40) 81018-8613;R$ 73.000,00;620;8,6;Oeste;27;R$ 6.083,33;R$ 22,96;23/05/2023;Maio;2023
148;F;�va;32;�va@email.com;(53) 57252-5489;R$ 52.000,00;360;7,8;Oeste;18;R$ 4.333,33;R$ 20,00;24/05/2023;Maio;2023
41;F;B�yonc�;28;B�yonc�@email.com;(88) 69270-5917;R$ 46.000,00;250;8,4;Norte;14;R$ 3.833,33;R$ 17,86;25/05/2023;Maio;2023
636;F;Usuário_636;60;usuario636@exemplo.com;+55 81579-5760;R$ 127.690,39;R$ 1.152;4,7;Sul;5;R$ 10.640,87;R$ 230,44;25/05/2023;Maio;2023
1086;F;Usuário_636;60;usuario636@exemplo.com;+55 81579-5760;R$ 127.690,39;R$ 679,00;2,2;Sul;5;R$ 10.640,87;R$ 135,80;25/05/2023;Maio;2023
117;F;Eliza;54;Eliza@email.com;(97) 61212-4655;R$ 74.000,00;630;9,6;Sul;27;R$ 6.166,67;R$ 23,33;26/05/2023;Maio;2023
161;F;�velyn;30;�velyn@email.com;(51) 01422-2294;R$ 49.000,00;300;4,3;Norte;16;R$ 4.083,33;R$ 18,75;28/05/2023;Maio;2023
89;F;Ci�ra;31;Ci�ra@email.com;(62) 99610-5496;R$ 51.000,00;340;7,7;Norte;17;R$ 4.250,00;R$ 20,00;03/06/2023;Junho;2023
608;F;Usuário_608;45;usuario608@exemplo.com;+55 27865-5472;R$ 163.726,34;R$ 15.137;3,2;Centro-Oeste;8;R$ 13.643,86;R$ 1.892,08;05/06/2023;Junho;2023
1058;F;Usuário_608;45;usuario608@exemplo.com;+55 27865-5472;R$ 163.726,34;R$ 210,00;2,9;Centro-Oeste;8;R$ 13.643,86;R$ 26,25;05/06/2023;Junho;2023
32;F;Adnal;34;Adnal@email.com;(64) 20564-4814;R$ 55.000,00;350;8,4;Norte;19;R$ 4.583,33;R$ 18,42;10/06/2023;Junho;2023
92;F;Cid�lia;29;Cid�lia@email.com;(35) 74898-8668;R$ 46.000,00;270;6,2;Norte;15;R$ 3.833,33;R$ 18,00;11/06/2023;Junho;2023
1;F;Amidala;25;Amidala@email.com;(16) 23029-6435;R$ 45.000,00;200;8,2;Norte;12;R$ 3.750,00;R$ 16,67;15/06/2023;Junho;2023
174;M;Gualter;45;Gualter@email.com;(79) 76266-2295;R$ 65.000,00;500;3,6;Sul;22;R$ 5.416,67;R$ 22,73;18/03/2023;Mar�o;2023
252;M;Usuário_252;55;usuario252@exemplo.com;+55 91811-8587;R$ 188.195,90;R$ 431;7,9;Centro-Oeste;3;R$ 15.682,99;R$ 143,63;28/03/2023;Mar�o;2023
338;M;Usuário_338;18;usuario338@exemplo.com;+55 81630-9881;R$ 114.404,33;R$ 16.120;1,6;Norte;2;R$ 9.533,69;R$ 8.060,24;28/03/2023;Mar�o;2023
702;M;Usuário_252;55;usuario252@exemplo.com;+55 91811-8587;R$ 188.195,90;R$ 165,00;7,2;Centro-Oeste;3;R$ 15.682,99;R$ 55,00;28/03/2023;Mar�o;2023
788;M;Usuário_338;18;usuario338@exemplo.com;+55 81630-9881;R$ 114.404,33;R$ 105,00;7,5;Norte;2;R$ 9.533,69;R$ 52,50;28/03/2023;Mar�o;2023
182;M;Gurfateh;29;Gurfateh@email.com;(86) 84459-7220;R$ 46.000,00;270;8,7;Norte;15;R$ 3.833,33;R$ 18,00;09/04/2023;Abril;2023
279;M;Usuário_279;69;usuario279@exemplo.com;+55 24935-9698;R$ 128.137,45;R$ 16.211;4,1;Sul;5;R$ 10.678,12;R$ 3.242,11;11/04/2023;Abril;2023
729;M;Usuário_279;69;usuario279@exemplo.com;+55 24935-9698;R$ 128.137,45;R$ 956,00;5,7;Sul;5;R$ 10.678,12;R$ 191,20;11/04/2023;Abril;2023
66;M;Ceumir;43;Ceumir@email.com;(81) 30865-9337;R$ 63.000,00;470;9,6;Sul;21;R$ 5.250,00;R$ 22,38;18/04/2023;Abril;2023
254;M;Usuário_254;67;usuario254@exemplo.com;+55 91064-9780;R$ 47.596,76;R$ 6.273;3,3;Sul;12;R$ 3.966,40;R$ 522,76;18/04/2023;Abril;2023
704;M;Usuário_254;67;usuario254@exemplo.com;+55 91064-9780;R$ 47.596,76;R$ 859,00;2,9;Sul;12;R$ 3.966,40;R$ 71,58;18/04/2023;Abril;2023
61;M;Celso;55;Celso@email.com;(33) 45751-9621;R$ 75.000,00;640;5,1;Oeste;28;R$ 6.250,00;R$ 22,86;20/04/2023;Abril;2023
210;M;Isa�as;42;Isa�as@email.com;(66) 78893-7491;R$ 62.000,00;520;4,3;Sul;23;R$ 5.166,67;R$ 22,61;20/04/2023;Abril;2023
64;M;Ces�rio;51;Ces�rio@email.com;(50) 29484-3942;R$ 71.000,00;600;8,7;Oeste;25;R$ 5.916,67;R$ 24,00;21/04/2023;Abril;2023
136;M;Evan;52;Evan@email.com;(67) 33558-6203;R$ 72.000,00;610;6,8;Oeste;26;R$ 6.000,00;R$ 23,46;21/04/2023;Abril;2023
143;M;Evgueni;26;Evgueni@email.com;(42) 78576-1994;R$ 44.000,00;240;1,3;Norte;14;R$ 3.666,67;R$ 17,14;21/04/2023;Abril;2023
2;F;Aglaya;25;Aglaya@email.com;(16) 23029-6435;R$ 45.000,00;200;3,6;Norte;12;R$ 3.750,00;R$ 16,67;17/06/2023;Junho;2023
37;F;Adolfo;25;Adolfo@email.com;(71) 06376-6855;R$ 45.000,00;200;6,9;Oeste;12;R$ 3.750,00;R$ 16,67;21/06/2023;Junho;2023
150;F;Evandra;42;Evandra@email.com;(31) 06070-7874;R$ 62.000,00;520;9,5;Sul;23;R$ 5.166,67;R$ 22,61;27/06/2023;Junho;2023
215;F;Ism�lia;27;Ism�lia@email.com;(90) 41501-0812;R$ 43.000,00;230;5,9;Norte;14;R$ 3.583,33;R$ 16,43;27/06/2023;Junho;2023
118;F;Elizabet;32;Elizabet@email.com;(57) 80154-6667;R$ 52.000,00;360;2,4;Oeste;18;R$ 4.333,33;R$ 20,00;29/06/2023;Junho;2023
50;F;Biatriz;36;Biatriz@email.com;(55) 42910-4566;R$ 54.000,00;400;1,1;Norte;19;R$ 4.500,00;R$ 21,05;30/06/2023;Junho;2023
116;F;Elissa;38;Elissa@email.com;(39) 26235-7962;R$ 59.000,00;430;3;Norte;20;R$ 4.916,67;R$ 21,50;30/06/2023;Junho;2023
214;F;Ismaela;51;Ismaela@email.com;(11) 78219-5019;R$ 71.000,00;600;7,6;Oeste;25;R$ 5.916,67;R$ 24,00;30/06/2023;Junho;2023
228;F;Ivandra;41;Ivandra@email.com;(96) 76949-0045;R$ 61.000,00;480;3,8;Sul;21;R$ 5.083,33;R$ 22,86;07/07/2023;Julho;2023
